# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
mezzi rigatoni,Refined grains,Pasta,Grains,plant
mild cheese,Aged cheese,Aged cheese,Dairy,dairy
mild chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
mild chili seasoning,Spice blends,American blends,Herbs & spices,plant
mild chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
mild oil,Oils,Vegetable oils,Fats & oils,plant
mild vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
milliliters oil,Oils,Vegetable oils,Fats & oils,plant
minced lettuce,Leafy greens,Lettuce,Vegetables,plant
mincemeat,Sweets,Confectionery,Sweets,plant
mineral oil,Oils,Vegetable oils,Fats & oils,plant
minestrone soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
minute oatmeal,Whole grains,Oats,Grains,plant
minute oats,Whole grains,Oats,Grains,plant
minute steaks,Red meat,Beef,Protein (animal),animal
minute tapioca,Flours,Starches,Grains,plant
miracle whip,Condiments & sauces,Salad dressings,Condiments & sauces,plant
miracle whip dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
miracle whip dressing family,Condiments & sauces,Salad dressings,Condiments & sauces,plant
miracle whip light dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
miracle whip salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
mix cheese,Aged cheese,Aged cheese,Dairy,dairy
mix lettuce,Leafy greens,Lettuce,Vegetables,plant
mixed baby greens,Leafy greens,Salad greens,Vegetables,plant
mixed baby lettuces,Leafy greens,Lettuce,Vegetables,plant
mixed baby salad greens,Leafy greens,Lettuce,Vegetables,plant
mixed berries,Berries,Berries,Fruits,plant
mixed berry,Berries,Berries,Fruits,plant
mixed candied fruit,Dried fruits,Dried fruits,Fruits,plant
mixed candied fruits,Dried fruits,Dried fruits,Fruits,plant
mixed cheese,Aged cheese,Aged cheese,Dairy,dairy
mixed cheeses,Aged cheese,Aged cheese,Dairy,dairy
mixed dried fruit,Fruits,Other fruits,Fruits,plant
mixed dried fruit bits,Fruits,Other fruits,Fruits,plant
mixed dried fruits,Fruits,Other fruits,Fruits,plant
mixed fruit jello,Prepared mixes,Gelatins,Sweets,plant
mixed fruits,Fruits,Other fruits,Fruits,plant
mixed glace fruit,Dried fruits,Dried fruits,Fruits,plant
mixed green salad,Leafy greens,Lettuce,Vegetables,plant
mixed herbs,Spice blends,European blends,Herbs & spices,plant
mixed italian herbs,Spice blends,European blends,Herbs & spices,plant
mixed lettuce,Leafy greens,Lettuce,Vegetables,plant
mixed lettuce greens,Leafy greens,Lettuce,Vegetables,plant
mixed lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
mixed lettuces,Leafy greens,Lettuce,Vegetables,plant
mixed nuts,Nuts,Tree nuts,Nuts & seeds,plant
mixed peas,Legumes,Peas,Protein (plant),plant
mixed peppercorns,Dried spices,Whole spices,Herbs & spices,plant
mixed pickling,Spice blends,American blends,Herbs & spices,plant
mixed pickling spice,Spice blends,American blends,Herbs & spices,plant
mixed salad,Leafy greens,Lettuce,Vegetables,plant
mixed salad green,Leafy greens,Lettuce,Vegetables,plant
mixed salad leaves,Leafy greens,Lettuce,Vegetables,plant
mixed seeds,Seeds,Seeds,Nuts & seeds,plant
mixed soup vegetables,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
mixed spice,Spice blends,American blends,Herbs & spices,plant
mixed spices,Spice blends,American blends,Herbs & spices,plant
mixed spring greens,Leafy greens,Salad greens,Vegetables,plant
mixed sprouts,Leafy greens,Sprouts,Vegetables,plant
mixed unsalted nuts,Nuts,Tree nuts,Nuts & seeds,plant
mocha frosting,Sweets,Confectionery,Sweets,plant
mojo marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
monde seasoning,Spice blends,American blends,Herbs & spices,plant
monkfruit,Sweets,Sugar substitutes,Sweets,plant
monosodium glutamate,Spice blends,American blends,Herbs & spices,plant
montasio cheese,Aged cheese,Aged cheese,Dairy,dairy
monterey cheese,Aged cheese,Aged cheese,Dairy,dairy
monterey jack,Processed cheese,Semi-soft cheese,Dairy,dairy
monterey jack cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
montreal seasoning,Spice blends,American blends,Herbs & spices,plant
montreal steak seasoning,Spice blends,American blends,Herbs & spices,plant
moose roast,Red meat,Beef,Protein (animal),animal
morel,Non-starchy vegetables,Mushrooms,Vegetables,plant
morels,Non-starchy vegetables,Mushrooms,Vegetables,plant
moroccan seasoning,Spice blends,American blends,Herbs & spices,plant
morsels,Sweets,Chocolate,Sweets,plant
morton lite salt,Salt & seasonings,Salt,Herbs & spices,plant
morton tender quick curing salt,Salt & seasonings,Salt,Herbs & spices,plant
morton tender quick salt,Salt & seasonings,Salt,Herbs & spices,plant
mostaccioli,Refined grains,Pasta,Grains,plant
mostaccioli noodles,Refined grains,Pasta,Grains,plant
motzarella cheese,Aged cheese,Aged cheese,Dairy,dairy
motzerella cheese,Aged cheese,Aged cheese,Dairy,dairy
mousse,Sweets,Confectionery,Sweets,plant
mozarella cheese,Aged cheese,Aged cheese,Dairy,dairy
mozerella cheese,Aged cheese,Aged cheese,Dairy,dairy
mozzeralla cheese,Aged cheese,Aged cheese,Dairy,dairy
mozzerella cheese,Aged cheese,Aged cheese,Dairy,dairy
muenster,Processed cheese,Semi-soft cheese,Dairy,dairy
muenster cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
muesli,Whole grains,Oats,Grains,plant
muffin,Bread & baked goods,Muffins,Grains,plant
muffin halves,Bread & baked goods,Muffins,Grains,plant
muffin mix,Bread & baked goods,Muffins,Grains,plant
muffin pan,Bread & baked goods,Muffins,Grains,plant
muffins,Bread & baked goods,Muffins,Grains,plant
mulato chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
multi-colored candy sprinkles,Sweets,Confectionery,Sweets,plant
multi-colored sprinkles,Sweets,Confectionery,Sweets,plant
multi-coloured sprinkles,Sweets,Confectionery,Sweets,plant
multi-grain cereal,Prepared mixes,Cereals,Grains,plant
multi-grain hot cereal,Prepared mixes,Cereals,Grains,plant
multi-grain spaghetti,Refined grains,Pasta,Grains,plant
multi-grain tortilla chips,Bread & baked goods,Crackers,Grains,plant
multigrain spaghetti,Refined grains,Pasta,Grains,plant
mung dal,Legumes,Lentils,Protein (plant),plant
munster cheese,Aged cheese,Aged cheese,Dairy,dairy
mutton,Red meat,Lamb,Protein (animal),animal
n cheese,Aged cheese,Aged cheese,Dairy,dairy
nabisco vanilla wafers,Bread & baked goods,Cookies,Grains,plant
nacho cheese,Aged cheese,Aged cheese,Dairy,dairy
nacho cheese chips,Aged cheese,Aged cheese,Dairy,dairy
nacho cheese doritos,Aged cheese,Aged cheese,Dairy,dairy
nacho cheese flavor,Aged cheese,Aged cheese,Dairy,dairy
nacho cheese soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
nacho cheese tortilla chips,Aged cheese,Aged cheese,Dairy,dairy
nacho chips,Bread & baked goods,Crackers,Grains,plant
nama shoyu,Condiments & sauces,Asian sauces,Condiments & sauces,plant
natural bran,Whole grains,Whole grains,Grains,plant
natural buttery spread,Condiments & sauces,Spreads,Condiments & sauces,plant
natural cereal,Prepared mixes,Cereals,Grains,plant
natural cheese,Aged cheese,Aged cheese,Dairy,dairy
natural cocoa,Sweets,Chocolate,Sweets,plant
natural yoghurt,Yogurt,Greek yogurt,Dairy,dairy
nectar,Juices,Fruit nectars,Fruits,plant
nectar juice,Juices,Fruit nectars,Fruits,plant
neufchatel cheese,Aged cheese,Aged cheese,Dairy,dairy
neutral cooking oil,Oils,Vegetable oils,Fats & oils,plant
neutral oil,Oils,Vegetable oils,Fats & oils,plant
neutral-tasting oil,Oils,Vegetable oils,Fats & oils,plant
new york state cheese,Aged cheese,Aged cheese,Dairy,dairy
nilla vanilla wafers,Bread & baked goods,Cookies,Grains,plant
nilla wafer cookies,Sweets,Confectionery,Sweets,plant
nilla wafer crumbs,Sweets,Confectionery,Sweets,plant
nilla wafers,Sweets,Confectionery,Sweets,plant
nippy cheese,Aged cheese,Aged cheese,Dairy,dairy
no boil lasagna noodles,Refined grains,Pasta,Grains,plant
no salt,Salt & seasonings,Salt,Herbs & spices,plant
no yolks,Eggs,Egg yolk,Protein (animal),animal
no-boil lasagna noodles,Refined grains,Pasta,Grains,plant
non dairy creamer,Plant milks,Plant milks,Dairy,dairy
non-dairy coffee creamer,Coffee & tea,Coffee,Herbs & spices,plant
non-dairy creamer,Plant milks,Plant milks,Dairy,dairy
non-dairy powdered coffee creamer,Coffee & tea,Coffee,Herbs & spices,plant
non-fat soymilk,Plant milks,Plant milks,Dairy,dairy
non-hydrogenated margarine,Margarine & shortening,Margarine,Fats & oils,plant
non-iodized salt,Salt & seasonings,Salt,Herbs & spices,plant
nondairy cheese,Aged cheese,Aged cheese,Dairy,dairy
nondairy coffee,Coffee & tea,Coffee,Herbs & spices,plant
nondairy creamer,Plant milks,Plant milks,Dairy,dairy
nondairy whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
nonfat cheese,Aged cheese,Aged cheese,Dairy,dairy
nonfat vanilla soymilk,Plant milks,Plant milks,Dairy,dairy
noniodized salt,Salt & seasonings,Salt,Herbs & spices,plant
nonpareil capers,Pickled vegetables,Capers,Condiments & sauces,plant
nonpareil sprinkles,Sweets,Confectionery,Sweets,plant
nonstick oil spray,Oils,Vegetable oils,Fats & oils,plant
nonstick vegetable oil cooking spray,Oils,Vegetable oils,Fats & oils,plant
noodle soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
nut,Nuts,Tree nuts,Nuts & seeds,plant
nut crust,Nuts,Tree nuts,Nuts & seeds,plant
nut filling,Nuts,Tree nuts,Nuts & seeds,plant
nut halves,Nuts,Tree nuts,Nuts & seeds,plant
nut meats,Nuts,Tree nuts,Nuts & seeds,plant
nut oil,Oils,Vegetable oils,Fats & oils,plant
nut pieces,Nuts,Tree nuts,Nuts & seeds,plant
nut topping,Nuts,Tree nuts,Nuts & seeds,plant
nutella,Jams & preserves,Sweet spreads,Sweets,plant
nutella spread,Jams & preserves,Sweet spreads,Sweets,plant
nutmeats,Nuts,Tree nuts,Nuts & seeds,plant
nuts ground,Nuts,Tree nuts,Nuts & seeds,plant
nuts of,Nuts,Tree nuts,Nuts & seeds,plant
nuts of choice,Nuts,Tree nuts,Nuts & seeds,plant
o'brien hash browns,Starchy vegetables,Potato,Vegetables,plant
oat,Whole grains,Oats,Grains,plant
oat bran,Whole grains,Whole grains,Grains,plant
oat flakes,Whole grains,Oats,Grains,plant
oatmeal,Whole grains,Oats,Grains,plant
oatmeal cookie,Whole grains,Oats,Grains,plant
oatmeal cookies,Whole grains,Oats,Grains,plant
oatmeal flakes,Whole grains,Oats,Grains,plant
oatmeal uncooked,Whole grains,Oats,Grains,plant
oats,Whole grains,Oats,Grains,plant
oaxaca cheese,Aged cheese,Aged cheese,Dairy,dairy
of cheese,Aged cheese,Aged cheese,Dairy,dairy
of lettuce,Leafy greens,Lettuce,Vegetables,plant
of oil,Oils,Vegetable oils,Fats & oils,plant
oil,Oils,Vegetable oils,Fats & oils,plant
oil +,Oils,Vegetable oils,Fats & oils,plant
oil flavoring,Extracts & essences,Extracts,Herbs & spices,plant
oil for,Oils,Vegetable oils,Fats & oils,plant
oil from,Oils,Vegetable oils,Fats & oils,plant
oil i,Oils,Vegetable oils,Fats & oils,plant
oil of anise,Dried spices,Whole spices,Herbs & spices,plant
oil of choice,Oils,Vegetable oils,Fats & oils,plant
oil of peppermint,Fresh herbs,Soft herbs,Herbs & spices,plant
oil reserved,Oils,Vegetable oils,Fats & oils,plant
oil spray,Oils,Vegetable oils,Fats & oils,plant
oilive oil,Oils,Vegetable oils,Fats & oils,plant
oils,Oils,Vegetable oils,Fats & oils,plant
oilve oil,Oils,Vegetable oils,Fats & oils,plant
okara,Legumes,Soy,Protein (plant),plant
old-fashioned grits,Whole grains,Wheat,Grains,plant
old-fashioned oatmeal,Whole grains,Oats,Grains,plant
oleo,Margarine & shortening,Margarine,Fats & oils,plant
oleo margarine,Margarine & shortening,Margarine,Fats & oils,plant
oloroso sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
oolong tea,Coffee & tea,Tea,Herbs & spices,plant
ore-ida hash browns,Starchy vegetables,Potato,Vegetables,plant
orecchiette,Refined grains,Pasta,Grains,plant
oreo base,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
oreo base cake,Prepared mixes,Cake mixes,Sweets,plant
oreo bite size cookies,Sweets,Confectionery,Sweets,plant
oreo brownies,Sweets,Confectionery,Sweets,plant
oreo cookie,Sweets,Confectionery,Sweets,plant
oreo cookies,Sweets,Confectionery,Sweets,plant
oreo creme icing variegate,Sweets,Confectionery,Sweets,plant
oreo pie crust,Bread & baked goods,Pastries,Grains,plant
oreo pie crusts,Bread & baked goods,Pastries,Grains,plant
oreos,Sweets,Confectionery,Sweets,plant
orgeat syrup,Sweets,Syrup,Sweets,plant
original bisquick,Prepared mixes,Baking mixes,Grains,plant
original hidden valley dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
ortega chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
orzo,Refined grains,Pasta,Grains,plant
orzo macaroni,Refined grains,Pasta,Grains,plant
oscar mayer wieners,Processed meat,Sausage,Protein (animal),animal
other cheese,Aged cheese,Aged cheese,Dairy,dairy
other lettuce,Leafy greens,Lettuce,Vegetables,plant
other neutral oil,Oils,Vegetable oils,Fats & oils,plant
other seasoning,Spice blends,American blends,Herbs & spices,plant
other seasonings,Spice blends,American blends,Herbs & spices,plant
other sweet white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
other white fish,White fish,Saltwater white fish,Protein (animal),animal
ounce cheese,Aged cheese,Aged cheese,Dairy,dairy
ounce kirsch,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
ouzo,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
oval vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
overproof rum,Alcoholic beverages,Rum,Condiments & sauces,plant
oxtail,Red meat,Beef,Protein (animal),animal
oxtails,Red meat,Beef,Protein (animal),animal
oysterette crackers,Bread & baked goods,Crackers,Grains,plant
pack bonito flakes,Shellfish,Other,Protein (animal),animal
pack cheese,Aged cheese,Aged cheese,Dairy,dairy
pack taco,Bread & baked goods,Tortillas,Grains,plant
package cheese,Aged cheese,Aged cheese,Dairy,dairy
packaged angel,Prepared mixes,Cake mixes,Sweets,plant
packaged coleslaw,Leafy greens,Cabbage,Vegetables,plant
packaged stuffing mix,Prepared mixes,Stuffing mixes,Grains,plant
packages cheese tortellini,Refined grains,Pasta,Grains,plant
packageshredded cheese,Aged cheese,Aged cheese,Dairy,dairy
packet chili seasoning mix,Spice blends,American blends,Herbs & spices,plant
packet equal,Sweets,Sugar substitutes,Sweets,plant
packets brown gravy mix,Prepared mixes,Seasoning mixes,Condiments & sauces,plant
packets chili seasoning mix,Spice blends,American blends,Herbs & spices,plant
packets equal,Sweets,Sugar substitutes,Sweets,plant
packets sazon,Spice blends,Latin blends,Herbs & spices,plant
packets splenda,Sweets,Sugar substitutes,Sweets,plant
packets taco,Bread & baked goods,Tortillas,Grains,plant
packs equal,Sweets,Sugar substitutes,Sweets,plant
padano cheese,Aged cheese,Aged cheese,Dairy,dairy
paese cheese,Aged cheese,Aged cheese,Dairy,dairy
pale ale,Alcoholic beverages,Beer,Condiments & sauces,plant
pale dry sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
pamesan cheese,Aged cheese,Aged cheese,Dairy,dairy
pan cornbread,Bread & baked goods,Cornbread,Grains,plant
pan drippings,Margarine & shortening,Animal fats,Fats & oils,animal
panang curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
pancake,Bread & baked goods,Pastries,Grains,plant
pancake batter,Bread & baked goods,Pastries,Grains,plant
pancake mix,Prepared mixes,Baking mixes,Grains,plant
pancake syrup,Sweets,Syrup,Sweets,plant
pancakes,Bread & baked goods,Pastries,Grains,plant
panela cheese,Aged cheese,Aged cheese,Dairy,dairy
panir,Fresh cheese,Fresh cheese,Dairy,dairy
panko,Bread & baked goods,Bread crumbs,Grains,plant
panko breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
panko crumbs,Bread & baked goods,Bread crumbs,Grains,plant
panko japanese,Bread & baked goods,Bread crumbs,Grains,plant
panko japanese breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
paremesan cheese,Aged cheese,Aged cheese,Dairy,dairy
parkay margarine,Margarine & shortening,Margarine,Fats & oils,plant
parm cheese,Aged cheese,Aged cheese,Dairy,dairy
parmasan cheese,Aged cheese,Aged cheese,Dairy,dairy
parmasean cheese,Aged cheese,Aged cheese,Dairy,dairy
parmesean cheese,Aged cheese,Aged cheese,Dairy,dairy
parmesian cheese,Aged cheese,Aged cheese,Dairy,dairy
parmigiana cheese,Aged cheese,Aged cheese,Dairy,dairy
parmigiano,Aged cheese,Parmesan,Dairy,dairy
parmigiano cheese,Aged cheese,Aged cheese,Dairy,dairy
parmigiano reggiano,Aged cheese,Parmesan,Dairy,dairy
parmigiano reggiano cheese,Aged cheese,Aged cheese,Dairy,dairy
parmigiano-reggiano cheese,Aged cheese,Aged cheese,Dairy,dairy
party peas,Legumes,Peas,Protein (plant),plant
party rolls,Bread & baked goods,Bread,Grains,plant
paso taco,Bread & baked goods,Tortillas,Grains,plant
paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
pasteurized cheese,Aged cheese,Aged cheese,Dairy,dairy
pastries,Bread & baked goods,Pastries,Grains,plant
pastry,Bread & baked goods,Pastries,Grains,plant
pastry brush,Bread & baked goods,Pastries,Grains,plant
pastry crust,Bread & baked goods,Pastries,Grains,plant
pastry crusts,Bread & baked goods,Pastries,Grains,plant
pastry dough,Bread & baked goods,Pastries,Grains,plant
pastry filling,Bread & baked goods,Pastries,Grains,plant
pastry ingredients,Bread & baked goods,Pastries,Grains,plant
pastry pie crust,Bread & baked goods,Pastries,Grains,plant
pastry pie shell,Bread & baked goods,Pastries,Grains,plant
pastry sheet,Bread & baked goods,Pastries,Grains,plant
pastry sheets,Bread & baked goods,Pastries,Grains,plant
pastry shell,Bread & baked goods,Pastries,Grains,plant
pastry shells,Bread & baked goods,Pastries,Grains,plant
pastry squares,Bread & baked goods,Pastries,Grains,plant
pats margarine,Margarine & shortening,Margarine,Fats & oils,plant
patties,Processed meat,Fresh sausage,Protein (animal),animal
patty,Processed meat,Fresh sausage,Protein (animal),animal
patty pan,Processed meat,Fresh sausage,Protein (animal),animal
patty shells,Processed meat,Fresh sausage,Protein (animal),animal
pea pods,Legumes,Peas,Protein (plant),plant
pea puree,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
pea soup,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
pea sprouts,Leafy greens,Sprouts,Vegetables,plant
